datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2012-01-23,Rajshahi,23.6,8.8,15.3,23.6,7.5,15.2,4.7,52.8,0.0,0,0.0,,,,,10.8,320.3,1016.2,16.3,5.6,188.1,16.2,7,,2012-01-23T06:50:28,2012-01-23T17:44:10,0.0,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-24,Rajshahi,23.5,8.6,15.4,23.5,7.3,15.2,5.7,55.8,0.0,0,0.0,,,,,11.9,321.0,1014.9,0.4,4.8,177.6,15.3,7,,2012-01-24T06:50:15,2012-01-24T17:44:54,0.03,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-25,Rajshahi,24.9,9.3,17.0,24.9,9.3,17.0,6.1,51.7,0.0,0,0.0,,,,,9.7,317.7,1014.3,0.0,6.0,182.4,15.8,7,,2012-01-25T06:50:01,2012-01-25T17:45:39,0.06,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-26,Rajshahi,26.5,10.3,18.3,26.5,10.3,18.3,8.1,54.2,0.0,0,0.0,,,,,10.4,294.2,1013.7,4.4,5.3,192.6,16.5,7,,2012-01-26T06:49:45,2012-01-26T17:46:23,0.09,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-27,Rajshahi,25.9,12.6,18.2,25.9,12.6,18.2,9.1,58.5,0.0,0,0.0,,,,,15.1,322.8,1014.0,12.5,5.7,185.8,15.8,7,,2012-01-27T06:49:27,2012-01-27T17:47:06,0.13,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-28,Rajshahi,25.8,10.4,17.8,25.8,10.4,17.8,7.8,55.5,0.0,0,0.0,,,,,12.6,330.8,1015.0,7.2,4.7,195.6,16.7,7,,2012-01-28T06:49:09,2012-01-28T17:47:50,0.16,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-29,Rajshahi,25.0,11.9,17.7,25.0,11.9,17.7,8.0,56.0,0.0,0,0.0,,,,,16.2,339.2,1015.0,24.9,5.8,184.8,15.8,7,,2012-01-29T06:48:49,2012-01-29T17:48:33,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-01-30,Rajshahi,26.6,9.4,17.7,26.6,9.4,17.7,8.1,58.0,0.0,0,0.0,,,,,17.6,342.8,1016.3,1.2,5.7,194.7,16.8,7,,2012-01-30T06:48:27,2012-01-30T17:49:16,0.22,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-01-31,Rajshahi,26.3,9.3,16.7,26.3,7.6,16.6,4.2,49.4,0.0,0,0.0,,,,,16.6,339.7,1016.6,0.0,5.7,209.7,18.1,8,,2012-01-31T06:48:05,2012-01-31T17:49:59,0.25,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-01,Rajshahi,26.2,9.4,17.0,26.2,9.4,17.0,6.0,52.0,0.0,0,0.0,,,,,19.1,326.9,1016.3,0.8,5.7,191.2,16.3,7,,2012-02-01T06:47:41,2012-02-01T17:50:41,0.29,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-02,Rajshahi,24.7,8.2,15.8,24.7,6.4,15.6,3.7,49.1,0.0,0,0.0,,,,,17.6,324.6,1017.0,1.0,5.8,207.0,18.1,8,,2012-02-02T06:47:15,2012-02-02T17:51:23,0.32,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-03,Rajshahi,25.6,9.0,16.5,25.6,7.5,16.3,5.1,51.2,0.0,0,0.0,,,,,14.8,333.0,1016.4,0.0,6.0,192.7,16.7,7,,2012-02-03T06:46:48,2012-02-03T17:52:05,0.35,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-04,Rajshahi,26.9,9.9,17.7,26.1,8.5,17.6,5.7,49.7,0.0,0,0.0,,,,,14.8,336.2,1014.9,0.0,6.0,202.7,17.6,7,,2012-02-04T06:46:20,2012-02-04T17:52:47,0.38,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-05,Rajshahi,29.1,11.0,19.4,27.5,11.0,19.2,6.9,48.9,0.0,0,0.0,,,,,13.7,300.3,1014.5,0.2,6.0,208.9,18.0,8,,2012-02-05T06:45:51,2012-02-05T17:53:28,0.41,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-06,Rajshahi,30.2,12.1,20.5,28.6,12.1,20.2,10.1,55.9,0.0,0,0.0,,,,,15.1,290.9,1012.7,0.0,5.2,204.8,17.6,7,,2012-02-06T06:45:21,2012-02-06T17:54:08,0.45,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-07,Rajshahi,30.3,12.9,21.4,28.7,12.9,21.1,10.5,54.4,0.0,0,0.0,,,,,18.0,313.0,1012.4,34.5,5.0,208.7,18.0,8,,2012-02-07T06:44:49,2012-02-07T17:54:48,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-02-08,Rajshahi,28.7,14.2,21.4,28.3,14.2,21.3,13.6,63.3,0.0,0,0.0,,,,,9.0,181.6,1010.6,79.3,5.8,137.9,12.1,5,,2012-02-08T06:44:16,2012-02-08T17:55:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-02-09,Rajshahi,27.8,15.9,20.7,27.3,15.9,20.6,13.4,65.6,0.0,0,0.0,,,,,20.2,318.3,1010.9,33.7,5.5,144.3,12.4,6,,2012-02-09T06:43:42,2012-02-09T17:56:08,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-02-10,Rajshahi,26.8,9.9,17.2,26.3,9.9,17.1,2.3,41.2,0.0,0,0.0,,,,,17.6,308.1,1014.6,0.6,6.5,225.1,19.5,8,,2012-02-10T06:43:06,2012-02-10T17:56:47,0.58,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-11,Rajshahi,26.6,9.2,16.7,26.6,7.4,16.5,2.5,43.8,0.0,0,0.0,,,,,13.7,306.2,1015.5,0.0,4.7,228.7,19.7,8,,2012-02-11T06:42:30,2012-02-11T17:57:25,0.62,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-12,Rajshahi,25.7,9.3,16.8,25.7,8.2,16.7,2.9,43.3,0.0,0,0.0,,,,,14.8,319.4,1015.0,0.7,7.0,216.4,18.7,8,,2012-02-12T06:41:52,2012-02-12T17:58:03,0.65,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-13,Rajshahi,28.8,9.8,19.4,27.2,9.8,19.2,5.5,44.7,0.0,0,0.0,,,,,10.1,28.8,1015.2,2.1,6.0,213.9,18.3,8,,2012-02-13T06:41:14,2012-02-13T17:58:41,0.69,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-14,Rajshahi,30.0,13.1,21.8,28.4,13.1,21.5,9.1,46.7,0.0,0,0.0,,,,,9.0,14.5,1013.6,0.6,6.0,194.1,16.8,7,,2012-02-14T06:40:34,2012-02-14T17:59:18,0.75,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-15,Rajshahi,31.2,16.7,23.7,30.8,16.7,23.6,13.8,55.8,1.0,100,20.83,rain,,,,7.9,309.3,1011.6,3.1,4.3,195.2,17.0,7,,2012-02-15T06:39:53,2012-02-15T17:59:55,0.76,Rain,Clear conditions throughout the day with afternoon rain.,rain,"41907099999,remote,41895099999"
2012-02-16,Rajshahi,29.4,18.1,23.3,29.0,18.1,23.2,15.3,62.9,0.4,100,16.67,rain,,,,8.6,355.0,1011.8,24.3,4.8,161.2,13.9,6,,2012-02-16T06:39:11,2012-02-16T18:00:31,0.8,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"41907099999,remote,41895099999"
2012-02-17,Rajshahi,29.2,17.5,22.6,28.7,17.5,22.6,15.2,65.4,0.0,0,0.0,,,,,15.5,309.8,1012.0,28.7,6.0,170.8,14.7,7,,2012-02-17T06:38:28,2012-02-17T18:01:07,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-02-18,Rajshahi,31.2,13.2,22.0,29.1,13.2,21.6,8.9,49.7,0.0,0,0.0,,,,,18.4,304.1,1012.3,0.0,5.0,239.5,20.6,8,,2012-02-18T06:37:44,2012-02-18T18:01:42,0.87,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-19,Rajshahi,30.7,11.4,20.7,28.7,11.4,20.3,4.8,40.7,0.0,0,0.0,,,,,17.6,298.8,1012.6,0.0,6.0,238.9,20.7,8,,2012-02-19T06:37:00,2012-02-19T18:02:17,0.9,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-20,Rajshahi,29.9,12.1,20.6,28.1,12.1,20.3,5.7,41.9,0.0,0,0.0,,,,,11.9,295.6,1011.3,0.0,6.0,238.3,20.7,8,,2012-02-20T06:36:14,2012-02-20T18:02:52,0.94,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-21,Rajshahi,31.1,13.1,22.1,29.2,13.1,21.7,8.5,45.6,0.0,0,0.0,,,,,15.8,293.1,1009.9,66.2,6.0,233.6,20.1,8,,2012-02-21T06:35:27,2012-02-21T18:03:26,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-02-22,Rajshahi,33.1,14.0,23.5,31.0,14.0,22.9,9.8,46.3,0.0,0,0.0,,,,,12.6,325.1,1008.8,49.6,6.2,235.1,20.3,8,,2012-02-22T06:34:40,2012-02-22T18:03:59,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-02-23,Rajshahi,34.7,16.1,24.8,32.4,16.1,24.1,9.4,42.2,0.0,0,0.0,,,,,17.3,298.1,1008.3,34.1,6.2,237.6,20.4,8,,2012-02-23T06:33:51,2012-02-23T18:04:32,0.04,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-02-24,Rajshahi,34.7,15.5,24.4,32.3,15.5,23.7,8.3,41.4,0.0,0,0.0,,,,,22.7,297.5,1008.1,2.1,6.2,249.1,21.8,9,,2012-02-24T06:33:02,2012-02-24T18:05:05,0.07,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-25,Rajshahi,36.0,14.4,24.8,33.4,14.4,24.0,7.9,39.8,0.0,0,0.0,,,,,19.8,291.6,1007.9,0.0,5.2,252.7,21.8,9,,2012-02-25T06:32:12,2012-02-25T18:05:37,0.11,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-26,Rajshahi,35.7,15.3,24.9,33.0,15.3,24.0,6.5,36.7,0.0,0,0.0,,,,,23.4,291.0,1006.6,0.0,5.3,250.9,21.7,9,,2012-02-26T06:31:21,2012-02-26T18:06:09,0.14,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-27,Rajshahi,33.0,13.8,22.8,30.6,13.8,22.2,0.9,28.2,0.0,0,0.0,,,,,17.3,284.8,1007.7,17.8,6.3,271.7,23.5,9,,2012-02-27T06:30:30,2012-02-27T18:06:41,0.17,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-28,Rajshahi,33.2,12.2,22.8,30.7,12.2,22.2,2.8,32.4,0.0,0,0.0,,,,,14.8,267.0,1006.1,0.0,6.2,248.2,21.4,9,,2012-02-28T06:29:38,2012-02-28T18:07:12,0.2,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-02-29,Rajshahi,34.3,17.1,24.9,32.2,17.1,24.3,8.3,37.1,0.4,100,12.5,rain,,,,13.7,267.9,1004.8,12.0,6.2,235.3,20.2,8,,2012-02-29T06:28:45,2012-02-29T18:07:42,0.24,Rain,Clear conditions throughout the day with morning rain.,rain,"41907099999,remote,41895099999"
2012-03-01,Rajshahi,33.7,14.7,23.8,31.2,14.7,23.1,5.4,36.4,0.0,0,0.0,,,,,14.0,296.2,1007.3,12.5,5.8,260.4,22.4,9,,2012-03-01T06:27:51,2012-03-01T18:08:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-02,Rajshahi,33.3,14.4,23.7,30.9,14.4,23.0,4.7,33.9,0.0,0,0.0,,,,,16.6,278.8,1006.5,3.1,6.2,258.0,22.2,9,,2012-03-02T06:26:57,2012-03-02T18:08:42,0.3,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-03,Rajshahi,33.3,14.1,23.8,30.8,14.1,23.0,3.5,31.5,0.0,0,0.0,,,,,13.7,307.0,1005.5,0.0,6.2,260.1,22.3,9,,2012-03-03T06:26:02,2012-03-03T18:09:12,0.33,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-04,Rajshahi,33.5,15.2,24.2,31.1,15.2,23.4,5.8,34.5,0.0,0,0.0,,,,,19.4,288.5,1007.0,52.0,6.2,252.6,22.0,9,,2012-03-04T06:25:07,2012-03-04T18:09:41,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-03-05,Rajshahi,34.9,16.0,25.6,32.6,16.0,24.9,8.5,37.5,0.0,0,0.0,,,,,17.6,293.6,1006.8,53.2,6.2,240.0,20.8,8,,2012-03-05T06:24:11,2012-03-05T18:10:10,0.4,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-03-06,Rajshahi,36.5,18.0,26.7,34.5,18.0,26.0,10.9,41.2,0.0,0,0.0,,,,,19.8,249.9,1004.9,31.1,5.0,242.8,20.9,9,,2012-03-06T06:23:15,2012-03-06T18:10:38,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-03-07,Rajshahi,37.0,18.7,27.3,34.6,18.7,26.5,10.6,41.7,0.0,0,0.0,,,,,18.0,258.1,1002.7,66.8,5.2,255.1,22.0,9,,2012-03-07T06:22:18,2012-03-07T18:11:07,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-03-08,Rajshahi,35.5,18.8,26.6,32.8,18.8,25.7,7.4,35.5,0.0,0,0.0,,,,,18.0,301.5,1004.5,33.9,6.2,260.6,22.5,9,,2012-03-08T06:21:21,2012-03-08T18:11:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-03-09,Rajshahi,35.7,16.6,26.6,33.2,16.6,25.7,7.1,32.6,0.0,0,0.0,,,,,8.6,57.9,1006.3,0.7,6.2,248.3,21.3,9,,2012-03-09T06:20:23,2012-03-09T18:12:02,0.53,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-10,Rajshahi,35.1,19.1,26.0,32.9,19.1,25.3,9.4,39.3,0.4,100,16.67,rain,,,,14.8,15.7,1009.1,0.0,5.8,242.0,20.9,8,,2012-03-10T06:19:25,2012-03-10T18:12:29,0.57,Rain,Clear conditions throughout the day with morning rain.,rain,"41907099999,remote,41895099999"
2012-03-11,Rajshahi,35.7,17.5,25.9,33.0,17.5,25.0,2.9,25.9,0.0,0,0.0,,,,,15.1,359.8,1012.0,0.0,7.0,262.8,22.5,9,,2012-03-11T06:18:26,2012-03-11T18:12:56,0.6,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-12,Rajshahi,36.1,15.0,26.6,33.3,15.0,25.4,3.2,26.6,0.0,0,0.0,,,,,13.3,344.9,1012.5,0.2,5.2,268.1,23.2,9,,2012-03-12T06:17:27,2012-03-12T18:13:23,0.64,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-13,Rajshahi,35.8,17.2,26.6,33.3,17.2,25.8,7.6,34.7,1.5,100,16.67,rain,,,,19.8,349.5,1013.4,9.6,5.0,244.4,21.0,9,,2012-03-13T06:16:28,2012-03-13T18:13:50,0.67,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"41907099999,remote,41895099999"
2012-03-14,Rajshahi,33.3,18.2,24.4,31.9,18.2,24.0,12.5,52.2,2.3,100,37.5,rain,,,,19.4,314.4,1012.0,8.5,6.6,247.5,21.2,9,,2012-03-14T06:15:29,2012-03-14T18:14:16,0.71,Rain,Clear conditions throughout the day with rain clearing later.,rain,"41907099999,remote,41895099999"
2012-03-15,Rajshahi,32.7,15.4,24.0,30.5,15.4,23.4,7.9,39.7,0.0,0,0.0,,,,,16.6,288.1,1012.6,0.0,6.0,272.3,23.7,9,,2012-03-15T06:14:29,2012-03-15T18:14:42,0.75,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-16,Rajshahi,34.0,15.8,25.0,31.5,15.8,24.2,5.8,34.2,0.0,0,0.0,,,,,17.6,278.2,1011.4,0.0,6.0,277.2,24.0,9,,2012-03-16T06:13:29,2012-03-16T18:15:08,0.78,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-17,Rajshahi,34.7,15.4,25.8,32.1,15.4,24.9,5.3,30.8,0.0,0,0.0,,,,,11.5,296.1,1009.8,0.0,5.0,268.7,23.3,9,,2012-03-17T06:12:29,2012-03-17T18:15:34,0.81,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-18,Rajshahi,35.0,18.0,26.1,32.7,18.0,25.6,10.4,41.4,0.0,0,0.0,,,,,13.3,43.9,1009.3,0.0,6.2,247.0,21.3,9,,2012-03-18T06:11:28,2012-03-18T18:15:59,0.85,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-19,Rajshahi,35.5,20.3,27.8,34.9,20.3,27.8,16.5,54.5,0.3,100,12.5,rain,,,,12.2,80.8,1010.2,28.0,6.3,237.6,20.5,8,,2012-03-19T06:10:28,2012-03-19T18:16:25,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"41907099999,remote,41895099999"
2012-03-20,Rajshahi,37.3,20.7,29.3,37.7,20.7,29.6,17.2,52.0,0.0,0,0.0,,,,,8.6,47.5,1009.0,34.6,6.0,252.8,21.8,9,,2012-03-20T06:09:27,2012-03-20T18:16:50,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-03-21,Rajshahi,39.1,22.6,30.3,37.8,22.6,29.6,11.9,38.9,0.0,0,0.0,,,,,17.3,264.7,1006.6,18.2,5.0,274.4,23.8,9,,2012-03-21T06:08:26,2012-03-21T18:17:15,0.95,Clear,Clear conditions throughout the day.,clear-day,"41907099999,remote,41895099999"
2012-03-22,Rajshahi,39.3,20.7,29.0,36.4,20.7,27.9,6.8,30.7,0.0,0,0.0,,,,,18.0,269.6,1006.7,37.8,6.5,265.8,22.9,9,,2012-03-22T06:07:25,2012-03-22T18:17:40,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41907099999,remote,41895099999"
2012-03-23,Rajshahi,37.5,15.0,27.4,34.3,15.0,26.1,-1.7,19.9,0.0,0,0.0,,,,,12.6,296.4,1010.1,69.4,6.2,297.5,25.8,10,,2012-03-23T06:06:24,2012-03-23T18:18:05,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41907099999,remote,41895099999"
