datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions
2012-01-11,"khulna,Bangladesh",26.4,15.5,19.8,26.4,15.5,19.8,14.3,73.5,0.0,0.0,0.0,,,,,13.7,338.6,1015.9,20.7,4.0,170.5,14.6,7.0,,2012-01-11T06:44:33,2012-01-11T17:34:30,0.57,Partially cloudy
2012-01-12,"khulna,Bangladesh",25.0,12.1,17.2,25.0,12.1,17.2,9.6,65.6,0.0,0.0,0.0,,,,,13.0,329.2,1015.9,4.1,4.7,191.1,16.5,7.0,,2012-01-12T06:44:39,2012-01-12T17:35:12,0.6,Clear
2012-01-13,"khulna,Bangladesh",21.9,9.1,14.9,21.9,7.8,14.8,7.7,66.3,0.0,0.0,0.0,,,,,16.2,315.7,1015.7,0.0,4.2,181.8,15.6,7.0,,2012-01-13T06:44:43,2012-01-13T17:35:55,0.64,Clear
2012-01-14,"khulna,Bangladesh",22.8,8.6,14.7,22.8,7.3,14.4,7.1,65.2,0.0,0.0,0.0,,,,,14.4,328.1,1014.6,0.0,3.5,175.1,15.1,7.0,,2012-01-14T06:44:46,2012-01-14T17:36:37,0.68,Clear
2012-01-15,"khulna,Bangladesh",24.1,8.1,15.5,24.1,6.7,15.2,6.6,60.4,0.0,0.0,0.0,,,,,11.5,338.5,1013.3,4.4,4.9,180.4,15.6,7.0,,2012-01-15T06:44:48,2012-01-15T17:37:20,0.71,Clear
2012-01-16,"khulna,Bangladesh",25.1,10.3,16.8,25.1,10.3,16.8,8.7,62.3,0.0,0.0,0.0,,,,,11.9,326.7,1010.8,1.8,3.6,169.7,14.7,7.0,,2012-01-16T06:44:48,2012-01-16T17:38:03,0.75,Clear
2012-01-17,"khulna,Bangladesh",27.5,12.6,19.3,26.9,12.6,19.3,11.7,64.3,0.0,0.0,0.0,,,,,10.1,226.4,1009.3,11.1,3.7,188.1,16.2,7.0,,2012-01-17T06:44:47,2012-01-17T17:38:45,0.78,Clear
2012-01-18,"khulna,Bangladesh",28.8,14.6,21.0,27.7,14.6,20.9,14.8,70.1,0.0,0.0,0.0,,,,,11.5,238.5,1009.1,2.7,3.8,186.7,16.0,7.0,,2012-01-18T06:44:44,2012-01-18T17:39:28,0.82,Clear
2012-01-19,"khulna,Bangladesh",28.8,15.0,21.0,27.8,15.0,20.9,14.1,68.5,0.0,0.0,0.0,,,,,9.0,252.0,1010.5,6.0,3.9,181.8,15.6,7.0,,2012-01-19T06:44:40,2012-01-19T17:40:11,0.85,Clear
2012-01-20,"khulna,Bangladesh",28.7,15.8,21.6,28.1,15.8,21.6,16.4,75.7,0.0,0.0,0.0,,,,,9.4,263.8,1011.4,8.2,4.1,196.8,17.0,7.0,,2012-01-20T06:44:35,2012-01-20T17:40:54,0.89,Clear
2012-01-21,"khulna,Bangladesh",26.9,14.6,19.8,26.7,14.6,19.8,13.5,70.4,0.0,0.0,0.0,,,,,11.9,325.8,1012.4,15.2,5.3,184.0,15.8,7.0,,2012-01-21T06:44:28,2012-01-21T17:41:36,0.93,Clear
2012-01-22,"khulna,Bangladesh",25.0,10.9,16.7,25.0,10.9,16.7,7.4,60.2,0.0,0.0,0.0,,,,,15.8,345.1,1015.4,7.3,3.8,206.5,17.9,8.0,,2012-01-22T06:44:20,2012-01-22T17:42:19,0.96,Clear
2012-01-23,"khulna,Bangladesh",25.2,9.0,16.2,25.2,7.6,16.1,5.8,55.2,0.0,0.0,0.0,,,,,12.2,339.0,1014.9,26.8,5.0,203.5,17.6,7.0,,2012-01-23T06:44:10,2012-01-23T17:43:01,0.0,Partially cloudy
2012-01-24,"khulna,Bangladesh",25.5,9.8,16.8,25.5,8.7,16.7,8.1,60.6,0.0,0.0,0.0,,,,,11.9,337.2,1014.3,1.6,4.0,195.0,16.8,7.0,,2012-01-24T06:43:59,2012-01-24T17:43:43,0.03,Clear
2012-01-25,"khulna,Bangladesh",26.1,10.5,17.6,26.1,10.5,17.6,9.0,60.6,0.0,0.0,0.0,,,,,10.1,356.1,1013.6,1.3,4.0,181.3,15.7,7.0,,2012-01-25T06:43:47,2012-01-25T17:44:25,0.06,Clear
2012-01-26,"khulna,Bangladesh",27.2,12.3,19.0,26.7,12.3,18.9,10.4,60.8,0.0,0.0,0.0,,,,,10.4,346.9,1013.4,7.6,3.8,192.0,16.7,7.0,,2012-01-26T06:43:33,2012-01-26T17:45:07,0.09,Clear
2012-01-27,"khulna,Bangladesh",27.2,13.2,19.3,26.6,13.2,19.2,10.9,61.7,0.0,0.0,0.0,,,,,15.1,338.2,1013.4,7.7,4.4,189.2,16.3,7.0,,2012-01-27T06:43:18,2012-01-27T17:45:49,0.13,Clear
2012-01-28,"khulna,Bangladesh",27.4,12.0,19.0,26.7,12.0,18.9,9.2,57.1,0.0,0.0,0.0,,,,,13.0,11.5,1014.1,23.3,5.3,204.8,17.5,8.0,,2012-01-28T06:43:02,2012-01-28T17:46:30,0.16,Partially cloudy
2012-01-29,"khulna,Bangladesh",27.4,12.3,19.3,26.7,12.3,19.2,9.9,58.1,0.0,0.0,0.0,,,,,14.8,4.4,1014.2,8.3,4.2,194.9,16.9,7.0,,2012-01-29T06:42:44,2012-01-29T17:47:11,0.19,Clear
2012-01-30,"khulna,Bangladesh",28.3,12.6,19.4,27.2,12.6,19.3,9.2,56.0,0.0,0.0,0.0,,,,,18.4,355.0,1015.2,0.7,4.7,201.8,17.4,7.0,,2012-01-30T06:42:25,2012-01-30T17:47:52,0.22,Clear
2012-01-31,"khulna,Bangladesh",28.0,11.1,18.7,26.7,11.1,18.5,5.1,45.3,0.0,0.0,0.0,,,,,18.7,349.3,1015.9,2.2,5.4,210.7,18.3,8.0,,2012-01-31T06:42:05,2012-01-31T17:48:32,0.25,Clear
2012-02-01,"khulna,Bangladesh",27.9,10.9,19.1,26.8,10.9,19.0,6.5,46.6,0.0,0.0,0.0,,,,,17.3,347.1,1015.6,2.8,5.2,203.1,17.6,7.0,,2012-02-01T06:41:43,2012-02-01T17:49:12,0.29,Clear
2012-02-02,"khulna,Bangladesh",26.8,11.3,18.0,26.6,11.3,17.9,4.3,46.8,0.0,0.0,0.0,,,,,16.9,343.3,1016.5,6.7,5.7,214.1,18.5,8.0,,2012-02-02T06:41:20,2012-02-02T17:49:52,0.32,Clear
2012-02-03,"khulna,Bangladesh",27.4,10.1,18.0,26.7,10.1,17.9,4.4,45.8,0.0,0.0,0.0,,,,,16.6,341.2,1015.8,0.3,4.7,208.5,18.0,8.0,,2012-02-03T06:40:56,2012-02-03T17:50:31,0.35,Clear
2012-02-04,"khulna,Bangladesh",29.3,11.1,19.4,27.6,11.1,19.1,5.3,44.7,0.0,0.0,0.0,,,,,14.4,341.5,1014.3,0.0,4.2,216.6,18.7,8.0,,2012-02-04T06:40:30,2012-02-04T17:51:10,0.38,Clear
2012-02-05,"khulna,Bangladesh",31.1,12.9,20.9,29.0,12.9,20.5,6.4,44.5,0.0,0.0,0.0,,,,,13.0,325.2,1014.2,14.3,4.5,215.3,18.5,8.0,,2012-02-05T06:40:03,2012-02-05T17:51:48,0.41,Clear
2012-02-06,"khulna,Bangladesh",32.0,14.0,22.1,30.0,14.0,21.6,10.4,52.8,0.0,0.0,0.0,,,,,13.3,300.5,1012.5,0.3,4.0,216.7,18.7,8.0,,2012-02-06T06:39:35,2012-02-06T17:52:27,0.45,Clear
2012-02-07,"khulna,Bangladesh",31.6,15.1,22.7,29.9,15.1,22.3,11.3,52.9,0.0,0.0,0.0,,,,,15.8,336.2,1011.9,11.4,5.0,211.4,18.2,8.0,,2012-02-07T06:39:06,2012-02-07T17:53:04,0.48,Clear
2012-02-08,"khulna,Bangladesh",31.8,17.0,23.6,30.5,17.0,23.4,13.3,55.8,0.0,0.0,0.0,,,,,9.4,239.6,1010.6,55.6,4.3,179.8,15.4,7.0,,2012-02-08T06:38:36,2012-02-08T17:53:41,0.5,Partially cloudy
2012-02-09,"khulna,Bangladesh",29.8,18.8,23.2,29.2,18.8,23.1,15.9,66.7,0.0,0.0,0.0,,,,,21.6,316.8,1010.0,32.8,4.8,171.7,15.0,6.0,,2012-02-09T06:38:04,2012-02-09T17:54:18,0.55,Partially cloudy
2012-02-10,"khulna,Bangladesh",29.5,14.0,20.3,27.8,14.0,20.0,6.0,44.1,0.0,0.0,0.0,,,,,14.0,344.5,1014.2,2.0,6.7,214.0,18.7,8.0,,2012-02-10T06:37:32,2012-02-10T17:54:54,0.58,Clear
2012-02-11,"khulna,Bangladesh",28.7,11.9,19.3,27.1,11.9,19.1,3.3,39.3,0.0,0.0,0.0,,,,,12.2,331.7,1014.3,0.0,5.5,223.2,19.3,8.0,,2012-02-11T06:36:58,2012-02-11T17:55:30,0.62,Clear
2012-02-12,"khulna,Bangladesh",28.6,11.0,19.2,27.1,11.0,19.0,2.7,37.4,0.0,0.0,0.0,,,,,13.0,336.9,1014.5,0.7,6.9,227.6,19.8,8.0,,2012-02-12T06:36:23,2012-02-12T17:56:06,0.65,Clear
2012-02-13,"khulna,Bangladesh",31.6,12.4,21.2,29.4,12.4,20.7,4.5,38.4,0.0,0.0,0.0,,,,,9.7,14.9,1014.6,0.0,4.5,226.5,19.5,8.0,,2012-02-13T06:35:47,2012-02-13T17:56:40,0.69,Clear
2012-02-14,"khulna,Bangladesh",32.4,14.7,23.1,30.4,14.7,22.7,8.0,41.8,0.0,0.0,0.0,,,,,9.4,4.5,1013.6,0.4,4.7,202.6,17.7,8.0,,2012-02-14T06:35:10,2012-02-14T17:57:15,0.75,Clear
2012-02-15,"khulna,Bangladesh",33.7,17.8,25.3,32.8,17.8,25.2,13.2,49.8,0.6,100.0,8.33,rain,,,,9.4,358.6,1011.6,4.1,4.4,203.0,17.7,7.0,,2012-02-15T06:34:32,2012-02-15T17:57:49,0.76,Rain
2012-02-16,"khulna,Bangladesh",32.2,19.2,24.6,32.1,19.2,24.6,16.8,64.9,7.4,100.0,29.17,rain,,,,11.9,346.0,1011.7,16.4,5.0,200.6,17.3,7.0,,2012-02-16T06:33:53,2012-02-16T17:58:22,0.8,Rain
2012-02-17,"khulna,Bangladesh",31.6,17.8,24.0,31.5,17.8,24.0,16.4,65.6,0.0,0.0,0.0,,,,,17.3,345.4,1011.3,13.7,4.5,219.5,19.1,8.0,,2012-02-17T06:33:13,2012-02-17T17:58:55,0.83,Clear
2012-02-18,"khulna,Bangladesh",32.2,17.9,23.8,30.3,17.9,23.4,13.3,58.7,0.0,0.0,0.0,,,,,18.0,324.0,1012.4,0.0,5.0,229.1,19.8,8.0,,2012-02-18T06:32:31,2012-02-18T17:59:28,0.87,Clear
2012-02-19,"khulna,Bangladesh",31.7,14.8,22.5,29.6,14.8,22.1,9.1,48.0,0.0,0.0,0.0,,,,,15.8,313.2,1012.5,0.0,4.8,226.3,19.6,8.0,,2012-02-19T06:31:50,2012-02-19T18:00:00,0.9,Clear
2012-02-20,"khulna,Bangladesh",31.3,14.2,21.9,29.2,14.2,21.4,6.9,44.7,0.0,0.0,0.0,,,,,13.3,306.4,1010.8,1.2,5.1,250.3,21.6,9.0,,2012-02-20T06:31:07,2012-02-20T18:00:32,0.94,Clear
2012-02-21,"khulna,Bangladesh",32.4,16.1,23.4,30.4,16.1,23.0,10.1,47.3,0.0,0.0,0.0,,,,,15.5,288.7,1009.3,68.8,5.5,239.8,20.7,8.0,,2012-02-21T06:30:23,2012-02-21T18:01:03,0.98,Partially cloudy
2012-02-22,"khulna,Bangladesh",34.5,16.1,24.3,32.3,16.1,23.6,10.8,48.8,0.0,0.0,0.0,,,,,10.4,309.1,1008.7,42.4,5.9,244.8,21.1,9.0,,2012-02-22T06:29:38,2012-02-22T18:01:33,0.0,Partially cloudy
2012-02-23,"khulna,Bangladesh",35.5,16.5,25.6,33.2,16.5,25.1,11.4,47.5,0.0,0.0,0.0,,,,,14.4,311.3,1007.9,35.2,4.0,246.9,21.4,9.0,,2012-02-23T06:28:53,2012-02-23T18:02:04,0.04,Partially cloudy
2012-02-24,"khulna,Bangladesh",36.0,16.6,25.8,33.5,16.6,25.1,9.7,42.4,0.0,0.0,0.0,,,,,19.4,317.6,1008.3,5.7,5.3,258.7,22.4,9.0,,2012-02-24T06:28:06,2012-02-24T18:02:33,0.07,Clear
2012-02-25,"khulna,Bangladesh",36.7,17.3,26.2,34.1,17.3,25.5,8.8,38.9,0.0,0.0,0.0,,,,,15.1,311.4,1007.6,0.5,5.7,260.2,22.4,9.0,,2012-02-25T06:27:19,2012-02-25T18:03:03,0.11,Clear
2012-02-26,"khulna,Bangladesh",36.4,17.5,26.1,33.7,17.5,25.3,9.1,40.6,0.0,0.0,0.0,,,,,16.6,310.6,1006.4,0.1,5.7,251.1,21.7,9.0,,2012-02-26T06:26:32,2012-02-26T18:03:32,0.14,Clear
2012-02-27,"khulna,Bangladesh",34.9,16.6,24.9,32.2,16.6,24.1,4.9,35.4,0.0,0.0,0.0,,,,,14.0,308.7,1007.3,18.0,6.2,270.9,23.4,9.0,,2012-02-27T06:25:43,2012-02-27T18:04:00,0.17,Clear
2012-02-28,"khulna,Bangladesh",34.5,16.6,25.0,32.1,16.6,24.3,7.5,37.6,0.0,0.0,0.0,,,,,12.6,250.8,1005.9,0.0,5.5,251.4,21.5,9.0,,2012-02-28T06:24:54,2012-02-28T18:04:28,0.2,Clear
2012-02-29,"khulna,Bangladesh",34.7,19.9,26.4,34.1,19.9,26.5,18.4,65.9,1.6,100.0,25.0,rain,,,,16.2,208.4,1004.7,8.9,5.7,219.3,18.9,8.0,,2012-02-29T06:24:04,2012-02-29T18:04:56,0.24,Rain
2012-03-01,"khulna,Bangladesh",34.8,17.7,26.0,32.4,17.7,25.3,11.3,47.2,0.0,0.0,0.0,,,,,9.4,278.0,1007.1,39.4,4.0,253.6,21.8,9.0,,2012-03-01T06:23:13,2012-03-01T18:05:23,0.25,Partially cloudy
2012-03-02,"khulna,Bangladesh",33.5,18.8,26.0,32.5,18.8,25.7,14.4,52.0,2.7,100.0,54.17,rain,,,,13.3,245.4,1006.0,17.4,5.5,233.4,20.2,8.0,,2012-03-02T06:22:22,2012-03-02T18:05:50,0.3,Rain
2012-03-03,"khulna,Bangladesh",33.9,20.4,26.2,32.3,20.4,25.8,13.7,51.8,1.4,100.0,45.83,rain,,,,10.4,321.6,1004.7,5.6,4.9,235.3,20.2,8.0,,2012-03-03T06:21:30,2012-03-03T18:06:17,0.33,Rain
2012-03-04,"khulna,Bangladesh",34.7,16.8,25.6,32.2,16.8,24.8,8.1,38.0,0.0,0.0,0.0,,,,,13.7,302.1,1007.1,51.7,5.9,263.4,22.7,9.0,,2012-03-04T06:20:38,2012-03-04T18:06:43,0.37,Partially cloudy
2012-03-05,"khulna,Bangladesh",35.3,18.6,26.7,36.2,18.6,26.7,14.3,50.4,0.0,0.0,0.0,,,,,17.6,249.2,1007.1,41.8,6.2,246.8,21.4,9.0,,2012-03-05T06:19:45,2012-03-05T18:07:09,0.4,Partially cloudy
2012-03-06,"khulna,Bangladesh",37.0,20.1,28.0,35.7,20.1,27.8,16.2,55.3,0.0,0.0,0.0,,,,,16.9,242.2,1005.2,28.3,6.2,244.0,21.1,8.0,,2012-03-06T06:18:52,2012-03-06T18:07:34,0.43,Partially cloudy
2012-03-07,"khulna,Bangladesh",38.2,21.2,28.9,37.5,21.2,28.8,17.0,57.5,0.0,0.0,0.0,,,,,13.0,232.1,1003.0,60.0,5.4,259.3,22.5,9.0,,2012-03-07T06:17:58,2012-03-07T18:07:59,0.46,Partially cloudy
2012-03-08,"khulna,Bangladesh",36.8,22.4,28.6,34.5,22.4,28.2,14.4,51.9,0.0,0.0,0.0,,,,,13.3,282.4,1004.3,4.8,6.4,254.6,22.0,9.0,,2012-03-08T06:17:04,2012-03-08T18:08:24,0.5,Clear
2012-03-09,"khulna,Bangladesh",36.1,20.4,27.9,34.6,20.4,27.8,14.4,48.9,0.0,0.0,0.0,,,,,12.2,216.4,1006.0,3.5,5.4,242.2,21.1,9.0,,2012-03-09T06:16:09,2012-03-09T18:08:49,0.53,Clear
2012-03-10,"khulna,Bangladesh",36.3,21.9,28.2,36.8,21.9,28.2,16.8,58.6,0.0,0.0,0.0,,,,,9.4,315.4,1007.9,7.0,4.9,235.9,20.3,8.0,,2012-03-10T06:15:14,2012-03-10T18:09:13,0.57,Clear
2012-03-11,"khulna,Bangladesh",36.8,20.6,27.9,34.8,20.6,27.3,10.9,40.0,0.0,0.0,0.0,,,,,14.0,26.5,1010.4,12.3,6.2,249.6,21.7,9.0,,2012-03-11T06:14:18,2012-03-11T18:09:37,0.6,Clear
2012-03-12,"khulna,Bangladesh",37.4,18.2,27.8,34.5,18.2,26.8,6.3,30.8,0.0,0.0,0.0,,,,,11.9,27.8,1012.3,7.1,6.1,277.3,23.9,9.0,,2012-03-12T06:13:22,2012-03-12T18:10:01,0.64,Clear
2012-03-13,"khulna,Bangladesh",37.4,18.4,28.5,34.9,18.4,27.6,9.9,36.7,0.0,0.0,0.0,,,,,7.9,257.0,1012.1,23.0,5.0,223.6,19.4,8.0,,2012-03-13T06:12:26,2012-03-13T18:10:24,0.67,Partially cloudy
2012-03-14,"khulna,Bangladesh",36.2,18.8,26.9,34.8,18.8,26.6,13.0,46.6,0.0,0.0,0.0,,,,,14.4,312.9,1012.2,24.2,6.2,251.7,22.0,9.0,,2012-03-14T06:11:30,2012-03-14T18:10:48,0.71,Partially cloudy
2012-03-15,"khulna,Bangladesh",34.5,17.8,26.0,32.1,17.8,25.3,8.0,36.8,0.0,0.0,0.0,,,,,16.2,308.5,1011.8,2.1,6.2,268.0,23.1,9.0,,2012-03-15T06:10:33,2012-03-15T18:11:11,0.75,Clear
2012-03-16,"khulna,Bangladesh",35.3,18.1,26.7,32.8,18.1,26.0,8.7,37.0,0.0,0.0,0.0,,,,,15.5,289.2,1011.3,0.4,6.2,273.0,23.4,9.0,,2012-03-16T06:09:36,2012-03-16T18:11:34,0.78,Clear
2012-03-17,"khulna,Bangladesh",35.4,19.6,27.1,35.6,19.6,27.0,15.5,53.7,1.2,100.0,20.83,rain,,,,17.3,222.5,1009.5,11.3,5.9,251.8,21.7,9.0,,2012-03-17T06:08:39,2012-03-17T18:11:56,0.81,Rain
2012-03-18,"khulna,Bangladesh",36.3,21.1,28.0,34.3,21.1,27.8,16.8,59.1,2.8,100.0,50.0,rain,,,,16.6,220.4,1008.9,9.2,4.6,247.7,21.5,8.0,,2012-03-18T06:07:41,2012-03-18T18:12:19,0.85,Rain
2012-03-19,"khulna,Bangladesh",36.2,21.6,28.5,37.1,21.6,28.8,18.9,62.7,0.7,100.0,29.17,rain,,,,11.9,196.4,1009.8,31.2,5.6,247.5,21.2,9.0,,2012-03-19T06:06:44,2012-03-19T18:12:41,0.88,"Rain, Partially cloudy"
2012-03-20,"khulna,Bangladesh",37.5,23.2,29.7,39.6,23.2,31.0,20.5,63.8,0.0,0.0,0.0,,,,,9.4,217.3,1008.3,38.5,6.2,243.5,21.1,9.0,,2012-03-20T06:05:46,2012-03-20T18:13:04,0.92,Partially cloudy
2012-03-21,"khulna,Bangladesh",39.1,23.2,30.5,39.5,23.2,30.6,16.3,49.8,0.0,0.0,0.0,,,,,18.4,251.1,1007.1,34.8,4.4,273.6,23.6,9.0,,2012-03-21T06:04:48,2012-03-21T18:13:26,0.95,Partially cloudy
2012-03-22,"khulna,Bangladesh",38.8,22.9,30.3,43.1,22.9,31.7,19.9,60.7,0.0,0.0,0.0,,,,,17.6,221.5,1006.9,8.3,6.4,263.9,22.7,9.0,,2012-03-22T06:03:50,2012-03-22T18:13:48,0.0,Clear
2012-03-23,"khulna,Bangladesh",38.6,21.5,29.4,35.3,21.5,28.5,9.3,40.9,0.0,0.0,0.0,,,,,7.6,292.4,1009.6,55.2,6.4,284.2,24.5,10.0,,2012-03-23T06:02:52,2012-03-23T18:14:10,0.02,Partially cloudy
2012-03-24,"khulna,Bangladesh",38.1,19.7,28.4,35.0,19.7,27.5,6.9,32.5,0.0,0.0,0.0,,,,,10.8,258.5,1010.5,26.3,6.2,289.8,25.1,10.0,,2012-03-24T06:01:55,2012-03-24T18:14:31,0.05,Partially cloudy
2012-03-25,"khulna,Bangladesh",38.2,19.8,29.0,38.0,19.8,29.0,16.0,52.4,0.0,0.0,0.0,,,,,13.3,233.4,1009.4,2.7,6.4,277.3,23.9,9.0,,2012-03-25T06:00:57,2012-03-25T18:14:53,0.09,Clear
2012-03-26,"khulna,Bangladesh",38.4,21.9,29.8,37.7,21.9,29.7,17.2,55.3,0.0,0.0,0.0,,,,,14.4,234.8,1010.2,0.2,5.0,273.3,23.7,9.0,,2012-03-26T05:59:59,2012-03-26T18:15:15,0.12,Clear
2012-03-27,"khulna,Bangladesh",38.4,22.6,30.2,39.3,22.6,30.2,17.1,53.7,0.0,0.0,0.0,,,,,18.4,224.6,1010.0,23.9,6.2,277.2,23.8,9.0,,2012-03-27T05:59:01,2012-03-27T18:15:36,0.15,Partially cloudy
2012-03-28,"khulna,Bangladesh",39.8,22.9,30.7,38.4,22.9,30.7,16.5,49.9,0.0,0.0,0.0,,,,,19.1,223.3,1010.8,8.4,6.7,274.5,23.7,9.0,,2012-03-28T05:58:03,2012-03-28T18:15:58,0.19,Clear
2012-03-29,"khulna,Bangladesh",40.2,23.3,31.1,39.0,23.3,31.4,17.4,51.8,0.0,0.0,0.0,,,,,14.8,227.1,1009.5,1.1,6.9,264.4,22.8,9.0,,2012-03-29T05:57:05,2012-03-29T18:16:20,0.22,Clear
2012-03-30,"khulna,Bangladesh",38.6,24.6,30.6,38.1,24.6,31.5,19.3,58.4,0.0,0.0,0.0,,,,,18.0,207.0,1008.4,67.2,6.4,207.0,17.8,7.0,,2012-03-30T05:56:08,2012-03-30T18:16:41,0.25,Partially cloudy
2012-03-31,"khulna,Bangladesh",35.9,24.6,29.7,38.6,24.6,30.5,19.7,60.4,0.0,0.0,0.0,,,,,9.0,173.9,1010.6,78.1,6.7,137.2,11.8,5.0,,2012-03-31T05:55:10,2012-03-31T18:17:03,0.25,Partially cloudy
2012-04-01,"khulna,Bangladesh",37.1,22.1,30.7,37.2,22.1,31.1,18.3,51.2,0.0,0.0,0.0,,,,,9.0,254.2,1010.4,61.6,6.2,171.4,14.7,6.0,,2012-04-01T05:54:13,2012-04-01T18:17:24,0.32,Partially cloudy
2012-04-02,"khulna,Bangladesh",36.6,22.6,30.5,38.3,22.6,31.2,18.7,53.1,0.0,0.0,0.0,,,,,9.4,217.8,1010.4,49.0,6.2,170.8,14.8,6.0,,2012-04-02T05:53:16,2012-04-02T18:17:46,0.35,Partially cloudy
2012-04-03,"khulna,Bangladesh",39.4,24.1,31.5,41.2,24.1,32.3,18.8,52.4,0.0,0.0,0.0,,,,,14.8,201.0,1011.2,3.7,5.7,254.5,21.9,9.0,,2012-04-03T05:52:19,2012-04-03T18:18:08,0.38,Clear
2012-04-04,"khulna,Bangladesh",39.3,24.5,31.1,42.4,24.5,32.1,19.3,55.6,0.3,100.0,12.5,rain,,,,20.5,202.3,1011.0,3.7,6.8,265.0,22.8,9.0,,2012-04-04T05:51:23,2012-04-04T18:18:30,0.42,Rain
2012-04-05,"khulna,Bangladesh",35.9,24.4,29.6,35.7,24.4,30.6,20.1,61.4,1.3,100.0,41.67,rain,,,,18.0,194.8,1008.5,54.4,6.2,171.6,14.9,5.0,,2012-04-05T05:50:26,2012-04-05T18:18:51,0.45,"Rain, Partially cloudy"
2012-04-06,"khulna,Bangladesh",31.8,21.9,26.7,33.6,21.9,27.4,22.0,77.7,20.4,100.0,58.33,rain,,,,16.6,179.5,1008.1,50.7,5.7,148.8,12.7,5.0,,2012-04-06T05:49:30,2012-04-06T18:19:13,0.48,"Rain, Partially cloudy"
2012-04-07,"khulna,Bangladesh",34.3,22.1,27.3,36.6,22.1,28.3,21.5,74.3,1.0,100.0,29.17,rain,,,,13.7,186.9,1008.9,21.0,5.9,231.6,19.9,8.0,,2012-04-07T05:48:35,2012-04-07T18:19:35,0.5,"Rain, Partially cloudy"
2012-04-08,"khulna,Bangladesh",34.7,22.7,28.2,39.2,22.7,30.1,22.5,74.5,2.7,100.0,79.17,rain,,,,21.2,188.9,1007.2,19.4,6.4,264.1,23.0,9.0,,2012-04-08T05:47:39,2012-04-08T18:19:57,0.55,Rain
