,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
33,Bogra,2013-03-06,33.4,17.0,24.8,31.4,17.0,24.3,9.9,43.2,0.0,0,0.0,,,,,13.0,292.8,1015.0,0.0,4.0,230.2,19.9,8,,2013-03-06T06:20:39,2013-03-06T18:07:17,0.8,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
34,Bogra,2013-03-07,33.4,16.0,24.7,31.2,16.0,24.1,9.3,41.6,0.0,0,0.0,,,,,13.3,317.2,1013.6,1.3,4.3,241.4,20.9,8,,2013-03-07T06:19:42,2013-03-07T18:07:46,0.84,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
35,Bogra,2013-03-08,34.8,16.8,25.4,32.4,16.8,24.6,7.8,36.9,0.0,0,0.0,,,,,16.2,311.0,1013.1,0.0,4.5,257.4,22.3,9,,2013-03-08T06:18:44,2013-03-08T18:08:15,0.87,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
36,Bogra,2013-03-09,33.9,17.9,25.3,31.5,17.9,24.6,7.1,34.9,0.0,0,0.0,,,,,18.4,289.5,1011.2,0.0,4.5,249.0,21.5,9,,2013-03-09T06:17:45,2013-03-09T18:08:44,0.91,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
37,Bogra,2013-03-10,35.1,16.7,25.9,32.5,16.7,25.1,7.0,34.8,0.0,0,0.0,,,,,11.9,294.0,1010.2,2.1,4.5,259.6,22.7,9,,2013-03-10T06:16:46,2013-03-10T18:09:12,0.94,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
38,Bogra,2013-03-11,35.6,19.4,26.9,33.3,19.4,26.3,9.5,37.6,0.0,0,0.0,,,,,13.0,290.7,1010.5,1.1,4.4,252.2,21.9,9,,2013-03-11T06:15:47,2013-03-11T18:09:40,0.98,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
39,Bogra,2013-03-12,35.6,20.8,27.5,33.3,20.8,27.0,10.4,38.8,0.0,0,0.0,,,,,9.7,331.4,1009.4,15.0,3.3,252.9,21.9,9,,2013-03-12T06:14:47,2013-03-12T18:10:08,0.0,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
40,Bogra,2013-03-13,35.5,19.8,27.4,33.4,19.8,27.0,13.1,47.3,0.4,100,16.67,rain,,,,10.1,41.3,1011.1,14.4,3.8,246.6,21.3,9,,2013-03-13T06:13:47,2013-03-13T18:10:35,0.05,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"remote,41883099999"
41,Bogra,2013-03-14,35.0,21.3,28.1,34.3,21.3,28.1,16.1,51.7,1.3,100,20.83,rain,,,,11.2,90.1,1011.7,72.6,4.5,223.6,19.3,8,,2013-03-14T06:12:46,2013-03-14T18:11:03,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,41883099999"
42,Bogra,2013-03-15,34.9,22.6,29.0,35.6,22.6,28.9,15.6,46.6,3.8,100,20.83,rain,,,,11.2,340.5,1013.4,85.1,4.0,198.7,17.2,7,,2013-03-15T06:11:46,2013-03-15T18:11:30,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"remote,41883099999"
43,Bogra,2013-03-16,36.2,20.2,27.7,34.4,20.2,27.3,14.2,48.1,8.1,100,12.5,rain,,,,15.8,306.0,1013.4,1.8,4.7,259.8,22.2,9,,2013-03-16T06:10:45,2013-03-16T18:11:57,0.14,Rain,Clear conditions throughout the day with early morning rain.,rain,"remote,41883099999"
44,Bogra,2013-03-17,35.8,21.1,27.2,33.9,21.1,26.6,12.4,44.2,0.7,100,20.83,rain,,,,17.6,290.0,1012.9,16.9,4.3,248.3,21.4,9,,2013-03-17T06:09:44,2013-03-17T18:12:23,0.17,Rain,Clear conditions throughout the day with rain.,rain,"remote,41883099999"
45,Bogra,2013-03-18,34.0,18.1,25.7,32.0,18.1,25.1,10.7,42.6,0.2,100,8.33,rain,,,,19.4,260.6,1010.7,0.0,4.0,281.0,24.4,9,,2013-03-18T06:08:42,2013-03-18T18:12:50,0.21,Rain,Clear conditions throughout the day with morning rain.,rain,"remote,41883099999"
46,Bogra,2013-03-19,34.7,17.0,26.2,32.4,17.0,25.3,8.3,35.7,0.0,0,0.0,,,,,14.8,246.9,1008.8,0.0,5.3,287.0,24.8,10,,2013-03-19T06:07:41,2013-03-19T18:13:16,0.25,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
47,Bogra,2013-03-20,34.9,19.0,27.0,33.3,19.0,26.6,12.6,43.7,0.0,0,0.0,,,,,11.9,52.6,1009.7,4.0,5.0,267.0,22.8,9,,2013-03-20T06:06:39,2013-03-20T18:13:43,0.27,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
48,Bogra,2013-03-21,36.1,20.6,28.4,34.8,20.6,28.0,14.4,46.3,0.0,0,0.0,,,,,11.9,297.0,1008.6,13.4,4.0,254.4,22.0,9,,2013-03-21T06:05:38,2013-03-21T18:14:09,0.3,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
49,Bogra,2013-03-22,35.7,19.1,27.9,33.9,19.1,27.4,12.3,40.8,0.9,100,20.83,rain,,,,12.6,9.3,1007.1,6.8,4.5,253.2,21.9,9,,2013-03-22T06:04:36,2013-03-22T18:14:35,0.33,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"remote,41883099999"
50,Bogra,2013-03-23,34.6,20.3,27.2,33.5,20.3,27.2,15.3,51.6,0.7,100,20.83,rain,,,,11.9,53.3,1009.1,33.5,5.0,212.5,18.3,7,,2013-03-23T06:03:34,2013-03-23T18:15:01,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,41883099999"
51,Bogra,2013-03-24,36.8,20.3,28.7,36.8,20.3,28.2,13.6,44.1,0.0,0,0.0,,,,,13.0,354.1,1010.8,9.5,5.0,274.0,23.7,9,,2013-03-24T06:02:32,2013-03-24T18:15:26,0.4,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
52,Bogra,2013-03-25,38.0,21.8,29.4,36.6,21.8,28.8,12.1,37.8,0.0,0,0.0,,,,,17.6,272.2,1006.8,0.0,4.5,269.5,23.2,9,,2013-03-25T06:01:30,2013-03-25T18:15:52,0.43,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
53,Bogra,2013-03-26,38.0,21.4,29.2,35.5,21.4,28.2,9.0,32.0,0.0,0,0.0,,,,,21.2,279.2,1005.6,5.8,4.0,297.6,25.8,10,,2013-03-26T06:00:28,2013-03-26T18:16:18,0.46,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
54,Bogra,2013-03-27,37.7,20.9,29.4,35.0,20.9,28.2,7.1,28.3,0.0,0,0.0,,,,,13.0,298.7,1007.4,33.6,4.8,295.7,25.6,10,,2013-03-27T05:59:26,2013-03-27T18:16:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999"
55,Bogra,2013-03-28,38.1,21.9,29.5,35.5,21.9,28.5,8.1,28.9,0.0,0,0.0,,,,,8.6,307.3,1008.5,42.4,4.7,240.5,20.8,9,,2013-03-28T05:58:25,2013-03-28T18:17:09,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999"
56,Bogra,2013-03-29,37.9,22.4,29.8,37.3,22.4,29.5,11.6,33.8,0.0,0,0.0,,,,,25.9,276.0,1008.0,5.2,6.0,263.2,22.8,9,,2013-03-29T05:57:23,2013-03-29T18:17:34,0.57,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
57,Bogra,2013-03-30,39.0,22.6,31.1,38.8,22.6,31.2,15.5,41.6,1.0,100,25.0,rain,,,,21.2,259.2,1006.5,12.7,5.0,271.8,23.6,9,,2013-03-30T05:56:22,2013-03-30T18:18:00,0.6,Rain,Clear conditions throughout the day with rain.,rain,"remote,41883099999"
58,Bogra,2013-03-31,38.7,22.4,31.3,37.3,22.4,30.4,12.9,35.5,0.4,100,16.67,rain,,,,11.2,289.0,1007.2,17.9,4.7,284.9,24.6,9,,2013-03-31T05:55:20,2013-03-31T18:18:25,0.64,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"remote,41883099999"
59,Bogra,2013-04-01,38.3,23.8,30.5,36.5,23.8,29.6,11.6,34.4,1.3,100,37.5,rain,,,,11.9,293.5,1008.3,0.0,4.0,288.6,25.0,10,,2013-04-01T05:54:19,2013-04-01T18:18:51,0.67,Rain,Clear conditions throughout the day with rain clearing later.,rain,"remote,41883099999"
60,Bogra,2013-04-02,39.3,23.9,31.3,37.3,23.9,30.3,10.7,31.7,0.0,0,0.0,,,,,12.2,275.6,1008.8,5.4,4.5,291.5,25.1,10,,2013-04-02T05:53:18,2013-04-02T18:19:17,0.71,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
61,Bogra,2013-04-03,39.2,23.4,31.7,37.4,23.4,30.7,11.2,31.6,0.0,0,0.0,,,,,17.3,260.8,1006.7,7.9,5.7,263.3,22.7,8,,2013-04-03T05:52:17,2013-04-03T18:19:42,0.75,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
62,Bogra,2013-04-04,40.5,24.7,32.4,39.1,24.7,31.5,12.7,33.7,0.0,0,0.0,,,,,31.0,265.5,1003.3,0.0,5.0,297.2,25.7,10,,2013-04-04T05:51:17,2013-04-04T18:20:08,0.78,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
63,Bogra,2013-04-05,39.7,21.7,31.0,36.7,21.7,29.6,6.2,25.2,0.0,0,0.0,,,,,23.0,274.8,1003.0,0.5,5.3,312.7,27.0,10,,2013-04-05T05:50:17,2013-04-05T18:20:33,0.82,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
64,Bogra,2013-04-06,39.3,21.1,29.7,36.1,21.1,28.4,3.6,21.6,0.0,0,0.0,,,,,21.2,272.9,1005.4,2.0,5.8,316.9,27.3,10,,2013-04-06T05:49:17,2013-04-06T18:20:59,0.85,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
65,Bogra,2013-04-07,39.2,22.1,30.2,36.1,22.1,28.8,3.4,20.5,0.0,0,0.0,,,,,12.2,274.6,1004.7,1.2,5.0,308.0,26.6,10,,2013-04-07T05:48:17,2013-04-07T18:21:25,0.89,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
66,Bogra,2013-04-08,40.2,22.1,31.6,37.4,22.1,30.4,6.7,24.2,0.0,0,0.0,,,,,7.6,221.7,1005.2,0.0,5.7,295.5,25.7,10,,2013-04-08T05:47:18,2013-04-08T18:21:51,0.92,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
67,Bogra,2013-04-09,40.6,23.5,32.0,38.8,23.5,31.8,13.5,38.0,0.0,0,0.0,,,,,11.2,172.0,1006.0,15.9,4.8,288.8,24.9,9,,2013-04-09T05:46:19,2013-04-09T18:22:17,0.96,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
68,Bogra,2013-04-10,41.5,23.7,32.1,42.2,23.7,32.5,15.9,43.8,0.0,0,0.0,,,,,17.3,193.7,1005.5,4.2,5.7,289.8,25.0,9,,2013-04-10T05:45:21,2013-04-10T18:22:43,0.0,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
69,Bogra,2013-04-11,41.2,24.9,32.3,40.6,24.9,33.1,17.3,48.5,0.0,0,0.0,,,,,18.0,210.1,1005.0,7.2,5.0,270.8,23.4,9,,2013-04-11T05:44:23,2013-04-11T18:23:09,0.03,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
70,Bogra,2013-04-12,41.3,25.2,33.1,41.9,25.2,33.9,18.2,46.2,0.0,0,0.0,,,,,22.0,197.2,1007.0,2.3,4.5,281.1,24.3,9,,2013-04-12T05:43:25,2013-04-12T18:23:36,0.06,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
71,Bogra,2013-04-13,42.1,25.7,33.9,41.9,25.7,35.1,17.4,43.0,0.0,0,0.0,,,,,20.5,203.9,1007.3,4.7,5.7,289.7,25.2,9,,2013-04-13T05:42:28,2013-04-13T18:24:02,0.09,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
72,Bogra,2013-04-14,40.3,25.9,32.5,39.9,25.9,32.7,16.3,42.8,0.0,0,0.0,,,,,21.6,206.7,1007.6,19.0,5.7,245.8,21.3,8,,2013-04-14T05:41:31,2013-04-14T18:24:29,0.12,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
73,Bogra,2013-04-15,37.7,24.7,31.2,37.7,24.7,31.8,17.9,48.6,1.2,100,45.83,rain,,,,20.5,169.5,1006.3,38.3,5.0,227.0,19.5,7,,2013-04-15T05:40:35,2013-04-15T18:24:55,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,41883099999"
74,Bogra,2013-04-16,35.7,19.1,28.7,36.5,19.1,29.5,19.8,61.6,6.3,100,79.17,rain,,,,22.7,90.1,1005.3,25.4,4.8,248.4,21.3,8,,2013-04-16T05:39:40,2013-04-16T18:25:22,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,41883099999"
75,Bogra,2013-04-17,33.8,19.7,28.0,35.6,19.7,29.2,20.3,65.3,4.8,100,50.0,rain,,,,17.3,104.2,1005.8,21.4,4.8,256.8,22.2,8,,2013-04-17T05:38:45,2013-04-17T18:25:49,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,41883099999"
76,Bogra,2013-04-18,36.8,24.2,30.0,37.9,24.2,31.1,20.0,59.1,0.4,100,16.67,rain,,,,16.6,162.0,1005.8,20.5,5.0,248.0,21.4,8,,2013-04-18T05:37:51,2013-04-18T18:26:17,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"remote,41883099999"
77,Bogra,2013-04-19,32.9,22.9,28.5,34.5,22.9,29.9,20.9,65.2,5.8,100,62.5,rain,,,,11.2,101.2,1006.3,48.9,5.3,159.3,13.8,6,,2013-04-19T05:36:57,2013-04-19T18:26:44,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,41883099999"
78,Bogra,2013-04-20,30.0,21.4,26.5,31.9,21.4,27.2,21.0,72.9,7.3,100,50.0,rain,,,,11.2,31.0,1008.8,84.4,5.0,117.2,10.1,5,,2013-04-20T05:36:04,2013-04-20T18:27:11,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"remote,41883099999"
79,Bogra,2013-04-21,30.7,20.4,25.1,33.0,20.4,25.5,20.3,75.9,3.9,100,50.0,rain,,,,20.2,292.1,1009.4,74.2,4.8,100.4,8.6,4,,2013-04-21T05:35:12,2013-04-21T18:27:39,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,41883099999"
80,Bogra,2013-04-22,31.6,20.8,26.1,32.4,20.8,26.6,19.2,68.7,5.3,100,66.67,rain,,,,9.0,287.6,1011.2,41.6,4.3,236.6,20.5,8,,2013-04-22T05:34:20,2013-04-22T18:28:07,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,41883099999"
81,Bogra,2013-04-23,33.6,21.9,27.9,34.1,21.9,28.4,18.9,60.8,1.0,100,29.17,rain,,,,10.4,335.6,1010.5,9.1,4.3,276.9,23.9,9,,2013-04-23T05:33:29,2013-04-23T18:28:35,0.42,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"remote,41883099999"
82,Bogra,2013-04-24,35.8,22.6,29.3,36.7,22.6,30.1,18.9,56.5,0.4,100,16.67,rain,,,,14.4,305.4,1010.9,6.6,5.0,298.5,25.7,9,,2013-04-24T05:32:39,2013-04-24T18:29:03,0.45,Rain,Clear conditions throughout the day with morning rain.,rain,"remote,41883099999"
83,Bogra,2013-04-25,37.0,23.5,30.2,36.8,23.5,30.7,17.6,50.0,0.0,0,0.0,,,,,11.5,320.4,1009.9,10.9,5.7,295.7,25.7,9,,2013-04-25T05:31:50,2013-04-25T18:29:32,0.48,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999"
84,Bogra,2013-04-26,38.3,24.4,31.9,40.2,24.4,32.9,18.2,46.9,0.9,100,20.83,rain,,,,10.1,295.0,1008.4,12.3,5.3,278.5,24.1,9,,2013-04-26T05:31:01,2013-04-26T18:30:00,0.5,Rain,Clear conditions throughout the day with morning rain.,rain,"remote,41883099999"
85,Bogra,2013-04-27,39.1,25.8,32.1,41.3,25.8,34.9,21.0,54.9,7.1,100,62.5,rain,,,,13.0,212.0,1007.8,43.5,6.0,260.0,22.3,9,,2013-04-27T05:30:13,2013-04-27T18:30:29,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,41883099999"
